"","season_name","season","episode","day","tribe_status","castaway","immunity","vote","nullified","voted_out","order","vote_order","castaway_id","vote_id","voted_out_id"
"1","Survivor: 41",41,1,3,"Original","Evvie",NA,"Abraham",FALSE,"Abraham",1,1,598,591,591
"2","Survivor: 41",41,1,3,"Original","Liana",NA,"Abraham",FALSE,"Abraham",1,1,608,591,591
"3","Survivor: 41",41,1,3,"Original","Tiffany",NA,"Abraham",FALSE,"Abraham",1,1,604,591,591
"4","Survivor: 41",41,1,3,"Original","Voce",NA,"Abraham",FALSE,"Abraham",1,1,607,591,591
"5","Survivor: 41",41,1,3,"Original","Xander",NA,"Abraham",FALSE,"Abraham",1,1,597,591,591
"6","Survivor: 41",41,1,3,"Original","Abraham",NA,"Tiffany",FALSE,"Abraham",1,1,591,604,591
"7","Survivor: 41",41,1,3,"Original","Brad",NA,"Sara",FALSE,"Sara",2,1,602,592,592
"8","Survivor: 41",41,1,3,"Original","Genie",NA,"Ricard",FALSE,"Sara",2,1,595,596,592
"9","Survivor: 41",41,1,3,"Original","JD",NA,"Sara",FALSE,"Sara",2,1,603,592,592
"10","Survivor: 41",41,1,3,"Original","Ricard",NA,"Sara",FALSE,"Sara",2,1,596,592,592
"11","Survivor: 41",41,1,3,"Original","Shan",NA,"Sara",FALSE,"Sara",2,1,606,592,592
"12","Survivor: 41",41,1,3,"Original","Sara",NA,"Brad",FALSE,"Sara",2,1,592,602,592
"13","Survivor: 41",41,2,5,"Original","Evvie",NA,"Voce",FALSE,"Voce",3,1,598,607,607
"14","Survivor: 41",41,2,5,"Original","Liana",NA,"Voce",FALSE,"Voce",3,1,608,607,607
"15","Survivor: 41",41,2,5,"Original","Tiffany",NA,"Voce",FALSE,"Voce",3,1,604,607,607
"16","Survivor: 41",41,2,5,"Original","Voce",NA,"Tiffany",FALSE,"Voce",3,1,607,604,607
"17","Survivor: 41",41,2,5,"Original","Xander",NA,"None",FALSE,"Voce",3,1,597,NA,607
"18","Survivor: 41",41,3,7,"Original","Brad",NA,"None",FALSE,"Brad",4,1,602,NA,602
"19","Survivor: 41",41,3,7,"Original","Genie",NA,"JD",FALSE,"Brad",4,1,595,603,602
"20","Survivor: 41",41,3,7,"Original","JD",NA,"Brad",FALSE,"Brad",4,1,603,602,602
"21","Survivor: 41",41,3,7,"Original","Ricard",NA,"Brad",FALSE,"Brad",4,1,596,602,602
"22","Survivor: 41",41,3,7,"Original","Shan",NA,"Brad",FALSE,"Brad",4,1,606,602,602
"23","Survivor: 41",41,4,9,"Original","Genie",NA,"JD",FALSE,"JD",5,1,595,603,603
"24","Survivor: 41",41,4,9,"Original","JD",NA,"Genie",FALSE,"JD",5,1,603,595,603
"25","Survivor: 41",41,4,9,"Original","Ricard",NA,"JD",FALSE,"JD",5,1,596,603,603
"26","Survivor: 41",41,4,9,"Original","Shan",NA,"JD",FALSE,"JD",5,1,606,603,603
"27","Survivor: 41",41,5,11,"Original","Genie",NA,"Ricard",FALSE,"Genie",6,1,595,596,595
"28","Survivor: 41",41,5,11,"Original","Ricard",NA,"Genie",FALSE,"Genie",6,1,596,595,595
"29","Survivor: 41",41,5,11,"Original","Shan",NA,"Genie",FALSE,"Genie",6,1,606,595,595
"30","Survivor: 41",41,7,14,"Merged","Danny",NA,"Evvie",FALSE,"Sydney",7,1,599,598,605
"31","Survivor: 41",41,7,14,"Merged","Deshawn",NA,"Evvie",FALSE,"Sydney",7,1,601,598,605
"32","Survivor: 41",41,7,14,"Merged","Deshawn",NA,"Evvie",FALSE,"Sydney",7,1,601,598,605
"33","Survivor: 41",41,7,14,"Merged","Erika","Individual","Sydney",FALSE,"Sydney",7,1,594,605,605
"34","Survivor: 41",41,7,14,"Merged","Evvie",NA,"Deshawn",FALSE,"Sydney",7,1,598,601,605
"35","Survivor: 41",41,7,14,"Merged","Heather","Individual","Sydney",FALSE,"Sydney",7,1,593,605,605
"36","Survivor: 41",41,7,14,"Merged","Liana","Individual","Sydney",FALSE,"Sydney",7,1,608,605,605
"37","Survivor: 41",41,7,14,"Merged","Naseer",NA,"Sydney",FALSE,"Sydney",7,1,600,605,605
"38","Survivor: 41",41,7,14,"Merged","Ricard",NA,"Evvie",FALSE,"Sydney",7,1,596,598,605
"39","Survivor: 41",41,7,14,"Merged","Shan","Individual","Sydney",FALSE,"Sydney",7,1,606,605,605
"40","Survivor: 41",41,7,14,"Merged","Tiffany","Individual","Deshawn",FALSE,"Sydney",7,1,604,601,605
"41","Survivor: 41",41,7,14,"Merged","Xander","Individual","Deshawn",FALSE,"Sydney",7,1,597,601,605
"42","Survivor: 41",41,7,14,"Merged","Sydney",NA,"Shot in the dark",FALSE,"Sydney",7,1,605,NA,605
"43","Survivor: 41",41,8,16,"Merged","Danny",NA,"Xander",FALSE,"Tiffany",8,1,599,597,604
"44","Survivor: 41",41,8,16,"Merged","Deshawn",NA,"Tiffany",FALSE,"Tiffany",8,1,601,604,604
"45","Survivor: 41",41,8,16,"Merged","Erika",NA,"Tiffany",FALSE,"Tiffany",8,1,594,604,604
"46","Survivor: 41",41,8,16,"Merged","Evvie","Individual","Heather",FALSE,"Tiffany",8,1,598,593,604
"47","Survivor: 41",41,8,16,"Merged","Heather",NA,"Tiffany",FALSE,"Tiffany",8,1,593,604,604
"48","Survivor: 41",41,8,16,"Merged","Liana",NA,"Tiffany",FALSE,"Tiffany",8,1,608,604,604
"49","Survivor: 41",41,8,16,"Merged","Naseer",NA,"Xander",FALSE,"Tiffany",8,1,600,597,604
