"","season_name","season","episode","day","castaway_id","castaway","tribe","tribe_status"
"89","Survivor: Borneo",1,7,21,14,"Rudy","Rattana","Merged"
"90","Survivor: Borneo",1,7,21,15,"Kelly","Rattana","Merged"
"91","Survivor: Borneo",1,7,21,16,"Richard","Rattana","Merged"
"92","Survivor: Borneo",1,8,24,8,"Greg","Rattana","Merged"
"93","Survivor: Borneo",1,8,24,9,"Jenna","Rattana","Merged"
"94","Survivor: Borneo",1,8,24,10,"Gervase","Rattana","Merged"
"95","Survivor: Borneo",1,8,24,11,"Colleen","Rattana","Merged"
"96","Survivor: Borneo",1,8,24,12,"Sean","Rattana","Merged"
"97","Survivor: Borneo",1,8,24,13,"Sue","Rattana","Merged"
"98","Survivor: Borneo",1,8,24,14,"Rudy","Rattana","Merged"
"99","Survivor: Borneo",1,8,24,15,"Kelly","Rattana","Merged"
"100","Survivor: Borneo",1,8,24,16,"Richard","Rattana","Merged"
"101","Survivor: Borneo",1,9,27,9,"Jenna","Rattana","Merged"
"102","Survivor: Borneo",1,9,27,10,"Gervase","Rattana","Merged"
"103","Survivor: Borneo",1,9,27,11,"Colleen","Rattana","Merged"
"104","Survivor: Borneo",1,9,27,12,"Sean","Rattana","Merged"
"105","Survivor: Borneo",1,9,27,13,"Sue","Rattana","Merged"
"106","Survivor: Borneo",1,9,27,14,"Rudy","Rattana","Merged"
"107","Survivor: Borneo",1,9,27,15,"Kelly","Rattana","Merged"
"108","Survivor: Borneo",1,9,27,16,"Richard","Rattana","Merged"
"109","Survivor: Borneo",1,10,30,10,"Gervase","Rattana","Merged"
"110","Survivor: Borneo",1,10,30,11,"Colleen","Rattana","Merged"
"111","Survivor: Borneo",1,10,30,12,"Sean","Rattana","Merged"
"112","Survivor: Borneo",1,10,30,13,"Sue","Rattana","Merged"
"113","Survivor: Borneo",1,10,30,14,"Rudy","Rattana","Merged"
"114","Survivor: Borneo",1,10,30,15,"Kelly","Rattana","Merged"
"115","Survivor: Borneo",1,10,30,16,"Richard","Rattana","Merged"
"116","Survivor: Borneo",1,11,33,11,"Colleen","Rattana","Merged"
